Cofactor_1	Cofactor_2
ADP_e	ATP_e
ADP_p	ATP_p
ADP_c	ATP_c
GDP_c	GTP_c
GDP_p	GTP_p
NAD_c	NADH_c
NAD_p	NADH_p
NADP_e	NADPH_e
NADP_c	NADPH_c
THF_c	10-FORMYL-THF_c
THF_c	METHYLENE-THF_c
THF_c	5-METHYL-THF_c
CO-A_c	ACETYL-COA_c
Acceptor_c	Donor-H2_c
Acceptor_p	Donor-H2_p
Oxidized-ferredoxins_e	Reduced-ferredoxins_e
Oxidized-ferredoxins_c	Reduced-ferredoxins_c
Ox-NADPH-Hemoprotein-Reductases_c	Red-NADPH-Hemoprotein-Reductases_c
Cytochromes-C-Oxidized_p	Cytochromes-C-Reduced_p
Cytochromes-C-Oxidized_c	Cytochromes-C-Reduced_c
Cytochromes-C-Oxidized_e	Cytochromes-C-Reduced_e
Oxidized-Plastocyanins_c	Plastocyanin-Reduced_c
ETF-Oxidized_c	ETF-Reduced_c
ETF-Oxidized_p	ETF-Reduced_p
Ox-Thioredoxin_c	Red-Thioredoxin_c
PLASTOQUINONE-9_c	CPD-12829_c
NADH-P-OR-NOP_c	NAD-P-OR-NOP_c
FAD_c	FADH2_c
FMN_c	FMNH2_c
ATP_c	AMP_c
